,Descrição,Código,Fornecedor,Categoria,Unidade,Estoque Atual,Preço de Venda,Custo Unitário,Custo Total,Preço Total,Quant.Vendas,Descontos,Valor Pago,Total Vendas,Comissão,NCM,CEST,Mês,Ano,Mês/Ano,insertion_id
402,Meada Anchor - 0281,4635125-0281,,Linha,,9.0,3.9,2.0,18.0,35.1,,,,,,,,04,2021,04-2021,2381838073
403,Meada Anchor - 0924,4635125-0924,,Linha,,6.0,3.9,2.0,12.0,23.4,,,,,,,,04,2021,04-2021,6370381549
404,Meada Anchor - 0885,4635125-0885,,Linha,,0.0,3.9,1.55,0.0,0.0,,,,,,,,04,2021,04-2021,1435972854
405,Meada Anchor - 0887,4635125-0887,,Linha,,2.0,3.9,2.0,4.0,7.8,,,,,,,,04,2021,04-2021,2135835720
406,Meada Anchor - 0888,4635125-0888,,Linha,,11.0,3.9,2.0,22.0,42.9,2.0,0.07,7.73,7.73,0.0,,,04,2021,04-2021,2818351763
407,Meada Anchor - 0889,4635125-0889,,Linha,,7.0,3.9,2.0,14.0,27.3,,,,,,,,04,2021,04-2021,8972309720
408,Meada Anchor - 0874,4635125-0874,,Linha,,9.0,3.9,2.0,18.0,35.1,2.0,0.0,7.8,7.8,0.0,,,04,2021,04-2021,1142556169
409,Meada Anchor - 0907,4635125-0907,,Linha,,8.0,3.9,2.0,16.0,31.2,,,,,,,,04,2021,04-2021,9749951815
410,Meada Anchor - 0277,4635125-0277,,Linha,,9.0,3.9,2.0,18.0,35.1,,,,,,,,04,2021,04-2021,7878619989
411,Meada Anchor - 0906,4635125-0906,,Linha,,3.0,3.9,2.0,6.0,11.7,,,,,,,,04,2021,04-2021,4287709295
412,Meada Anchor - 0830,4635125-0830,,Linha,,8.0,3.9,2.0,16.0,31.2,,,,,,,,04,2021,04-2021,1465132523
413,Meada Anchor - 0832,4635125-0832,,Linha,,0.0,3.9,1.8,0.0,0.0,,,,,,,,04,2021,04-2021,2648079428
414,Meada Anchor - 0898,4635125-0898,,Linha,,4.0,3.9,2.0,8.0,15.6,,,,,,,,04,2021,04-2021,2616248834
415,Meada Anchor - 0905,4635125-0905,,Linha,,4.0,3.9,2.0,8.0,15.6,,,,,,,,04,2021,04-2021,1888866530
416,Meada Anchor - 0926,4635125-0926,,Linha,,9.0,3.9,2.0,18.0,35.1,,,,,,,,04,2021,04-2021,799599677
417,Meada Anchor - 0387,4635125-0387,,Linha,,6.0,3.9,2.0,12.0,23.4,,,,,,,,04,2021,04-2021,1649703943
418,Meada Anchor - 0388,4635125-0388,,Linha,,4.0,3.9,2.0,8.0,15.6,,,,,,,,04,2021,04-2021,3167634740
419,Meada Anchor - 0390,4635125-0390,,Linha,,15.0,3.9,2.0,30.0,58.5,,,,,,,,04,2021,04-2021,3326174188
420,Meada Anchor - 0391,4635125-0391,,Linha,,2.0,3.9,2.0,4.0,7.8,,,,,,,,04,2021,04-2021,5551941325
421,Meada Anchor - 0392,4635125-0392,,Linha,,5.0,3.9,2.0,10.0,19.5,1.0,0.07,3.83,3.83,0.0,,,04,2021,04-2021,3674370048
422,Meada anchor - 0393,4635125-0393,,Linha,,8.0,3.9,2.0,16.0,31.2,,,,,,,,04,2021,04-2021,5512657660
423,Meada anchor - 0900,4635125-0900,,Linha,,7.0,3.9,2.0,14.0,27.3,,,,,,,,04,2021,04-2021,7284145149
424,Meada Anchor - 1040,4635125-1040,,Linha,,8.0,3.9,2.0,16.0,31.2,1.0,0.0,3.9,3.9,0.0,,,04,2021,04-2021,6917976531
425,Meada anchor - 0273,4635125-0273,,Linha,,22.0,3.9,2.0,44.0,85.8,,,,,,,,04,2021,04-2021,2819670805
426,Meada Anchor - 1041,4635125-1041,,Linha,,8.0,3.9,2.0,16.0,31.2,,,,,,,,04,2021,04-2021,3614187061
427,Meada Anchor - 0231,4635125-0231,,Linha,,2.0,3.9,2.0,4.0,7.8,,,,,,,,04,2021,04-2021,5536576329
428,meada Anchor - 0232,4635125-0232,,Linha,,29.0,3.9,2.0,58.0,113.1,,,,,,,,04,2021,04-2021,9828880026
429,Meada Anchor - 0233,4635125-0233,,Linha,,10.0,3.9,2.0,20.0,39.0,,,,,,,,04,2021,04-2021,9650981935
430,Meada Anchor - 0234,4635125-0234,,Linha,,2.0,3.9,2.0,4.0,7.8,,,,,,,,04,2021,04-2021,1083364738
431,Meada Anchor - 0235,4635125-0235,,Linha,,3.0,3.9,2.0,6.0,11.7,,,,,,,,04,2021,04-2021,7590826393
432,Meada Anchor - 0236,4635125-0236,,Linha,,3.0,3.9,2.0,6.0,11.7,,,,,,,,04,2021,04-2021,7277650461
433,Meada Anchor - 0397,4635125-0397,,Linha,,2.0,3.9,2.0,4.0,7.8,,,,,,,,04,2021,04-2021,825170954
